Fecha;Unidad;COD_CCAA;CCAA;Cod_Provincia;Provincia;TOTAL_CAMAS;OCUPADAS_COVID19;OCUPADAS_NO_COVID19
24/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;41;Sevilla;101;0;49
24/08/2020;U. Críticas SIN respirador;2;ARAGÓN;22;Huesca;0;0;0
24/08/2020;U. Críticas SIN respirador;12;GALICIA;36;Pontevedra;53;0;2
25/08/2020;Hospitalización convencional;13;MADRID;28;Madrid;13395;1721;8721
25/08/2020;Hospitalización convencional;19;MELILLA;52;Melilla;165;3;85
25/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;29;Málaga;209;9;74
25/08/2020;U. Críticas CON respirador;2;ARAGÓN;22;Huesca;30;10;2
25/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;9;Burgos;45;6;12
25/08/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;45;Toledo;70;8;27
25/08/2020;U. Críticas CON respirador;9;CATALUÑA;8;Barcelona;655;107;302
25/08/2020;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;3;Alicante/Alacant;274;16;109
26/08/2020;Hospitalización convencional;4;ISLAS BALEARES;7;Balears, Illes;3024;245;1848
26/08/2020;Hospitalización convencional;5;ISLAS CANARIAS;35;Palmas, Las;2457;106;1583
26/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;37;Salamanca;629;51;462
26/08/2020;Hospitalización convencional;18;CEUTA;51;Ceuta;154;1;44
26/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;40;Segovia;18;3;5
26/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;14;Córdoba;81;2;6
26/08/2020;U. Críticas SIN respirador;15;NAVARRA;31;Navarra;12;0;0
27/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;24;León;1180;19;813
27/08/2020;Hospitalización convencional;9;CATALUÑA;8;Barcelona;16570;779;12345
27/08/2020;Hospitalización convencional;13;MADRID;28;Madrid;13746;1784;8988
27/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;21;Huelva;41;1;22
19/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;45;Toledo;1263;41;938
19/08/2020;Hospitalización convencional;12;GALICIA;15;Coruña, A;3171;59;2030
19/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;4;Almería;84;15;18
19/08/2020;U. Críticas CON respirador;2;ARAGÓN;44;Teruel;8;2;4
19/08/2020;U. Críticas CON respirador;12;GALICIA;36;Pontevedra;176;0;62
19/08/2020;U. Críticas SIN respirador;13;MADRID;28;Madrid;165;0;13
19/08/2020;U. Críticas SIN respirador;14;MURCIA;30;Murcia;160;3;19
20/08/2020;Hospitalización convencional;2;ARAGÓN;44;Teruel;392;33;186
20/08/2020;Hospitalización convencional;2;ARAGÓN;50;Zaragoza;2927;406;1399
20/08/2020;Hospitalización convencional;4;ISLAS BALEARES;7;Balears, Illes;3068;169;1933
20/08/2020;Hospitalización convencional;12;GALICIA;27;Lugo;981;5;452
20/08/2020;Hospitalización convencional;18;CEUTA;51;Ceuta;153;0;59
20/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;34;Palencia;14;0;11
20/08/2020;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;4;72
20/08/2020;U. Críticas CON respirador;14;MURCIA;30;Murcia;244;21;80
20/08/2020;U. Críticas CON respirador;16;PAÍS VASCO;48;Bizkaia;162;17;61
20/08/2020;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;148;1;10
21/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;34;Palencia;329;4;238
21/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;21;Huelva;41;0;22
21/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;29;Málaga;209;8;62
21/08/2020;U. Críticas CON respirador;4;ISLAS BALEARES;7;Balears, Illes;224;27;67
21/08/2020;U. Críticas CON respirador;9;CATALUÑA;8;Barcelona;670;95;307
21/08/2020;U. Críticas SIN respirador;9;CATALUÑA;17;Girona;0;0;0
21/08/2020;U. Críticas SIN respirador;13;MADRID;28;Madrid;165;0;13
22/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;37;Salamanca;633;35;437
22/08/2020;Hospitalización convencional;10;COMUNIDAD VALENCIANA;46;Valencia/València;4841;205;2824
22/08/2020;Hospitalización convencional;18;CEUTA;51;Ceuta;153;0;59
22/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;34;Palencia;14;0;10
22/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;37;Salamanca;56;1;19
22/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;21;Huelva;32;0;2
22/08/2020;U. Críticas SIN respirador;3;ASTURIAS;33;Asturias;44;0;6
23/08/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;16;Cuenca;30;1;6
23/08/2020;U. Críticas CON respirador;9;CATALUÑA;17;Girona;53;6;34
23/08/2020;U. Críticas CON respirador;17;LA RIOJA;26;Rioja, La;43;3;9
23/08/2020;U. Críticas SIN respirador;9;CATALUÑA;8;Barcelona;183;20;111
23/08/2020;U. Críticas SIN respirador;9;CATALUÑA;17;Girona;0;0;0
23/08/2020;U. Críticas SIN respirador;16;PAÍS VASCO;20;Gipuzkoa;0;0;0
24/08/2020;U. Críticas CON respirador;11;EXTREMADURA;6;Badajoz;123;2;31
24/08/2020;U. Críticas SIN respirador;3;ASTURIAS;33;Asturias;44;0;4
25/08/2020;Hospitalización convencional;5;ISLAS CANARIAS;38;Santa Cruz de Tenerife;2562;29;1818
25/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;24;León;1181;10;827
25/08/2020;Hospitalización convencional;9;CATALUÑA;17;Girona;1979;38;1406
25/08/2020;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1303;28;738
25/08/2020;U. Críticas CON respirador;6;CANTABRIA;39;Cantabria;89;0;30
25/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;47;Valladolid;69;4;44
25/08/2020;U. Críticas CON respirador;16;PAÍS VASCO;1;Araba/Álava;43;11;16
25/08/2020;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;6;0;0
25/08/2020;U. Críticas SIN respirador;11;EXTREMADURA;10;Cáceres;21;1;2
25/08/2020;U. Críticas SIN respirador;12;GALICIA;32;Ourense;33;0;11
26/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;23;Jaén;65;4;4
26/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;9;Burgos;4;0;1
26/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;42;Soria;0;0;0
26/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;47;Valladolid;14;0;0
27/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;16;Cuenca;372;9;141
27/08/2020;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1303;72;670
27/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;41;Sevilla;244;9;92
27/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;47;Valladolid;69;6;31
27/08/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;16;Cuenca;30;2;3
27/08/2020;U. Críticas CON respirador;16;PAÍS VASCO;48;Bizkaia;157;19;60
27/08/2020;U. Críticas SIN respirador;9;CATALUÑA;43;Tarragona;12;1;8
28/08/2020;Hospitalización convencional;1;ANDALUCÍA;23;Jaén;1164;42;461
28/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;42;Soria;200;22;119
28/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;2;Albacete;840;43;459
28/08/2020;Hospitalización convencional;11;EXTREMADURA;6;Badajoz;1954;31;919
27/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;23;Jaén;66;0;17
28/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;40;Segovia;278;13;161
28/08/2020;Hospitalización convencional;10;COMUNIDAD VALENCIANA;46;Valencia/València;4864;233;2762
28/08/2020;Hospitalización convencional;17;LA RIOJA;26;Rioja, La;674;36;387
28/08/2020;U. Críticas SIN respirador;2;ARAGÓN;44;Teruel;0;0;0
28/08/2020;U. Críticas SIN respirador;3;ASTURIAS;33;Asturias;44;0;3
28/08/2020;U. Críticas SIN respirador;5;ISLAS CANARIAS;38;Santa Cruz de Tenerife;19;0;10
28/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;49;Zamora;0;0;0
28/08/2020;U. Críticas SIN respirador;15;NAVARRA;31;Navarra;6;0;0
28/08/2020;U. Críticas SIN respirador;16;PAÍS VASCO;1;Araba/Álava;8;0;2
28/08/2020;U. Críticas SIN respirador;17;LA RIOJA;26;Rioja, La;0;0;0
29/08/2020;Hospitalización convencional;9;CATALUÑA;17;Girona;1971;45;1343
29/08/2020;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1311;72;619
29/08/2020;U. Críticas CON respirador;5;ISLAS CANARIAS;38;Santa Cruz de Tenerife;176;6;67
29/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;47;Valladolid;69;4;29
29/08/2020;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;7;66
29/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;4;Almería;42;0;7
29/08/2020;U. Críticas SIN respirador;16;PAÍS VASCO;20;Gipuzkoa;0;0;0
30/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;14;Córdoba;74;3;34
30/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;34;Palencia;0;0;0
31/08/2020;Hospitalización convencional;2;ARAGÓN;50;Zaragoza;2926;366;1444
31/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;24;León;1223;17;839
31/08/2020;Hospitalización convencional;9;CATALUÑA;25;Lleida;975;50;715
31/08/2020;Hospitalización convencional;12;GALICIA;27;Lugo;981;33;495
31/08/2020;U. Críticas CON respirador;6;CANTABRIA;39;Cantabria;89;4;32
31/08/2020;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;6;77
31/08/2020;U. Críticas SIN respirador;5;ISLAS CANARIAS;35;Palmas, Las;48;0;13
31/08/2020;U. Críticas SIN respirador;9;CATALUÑA;43;Tarragona;6;1;5
31/08/2020;U. Críticas SIN respirador;12;GALICIA;32;Ourense;33;1;10
31/08/2020;U. Críticas SIN respirador;18;CEUTA;51;Ceuta;0;0;0
01/09/2020;Hospitalización convencional;2;ARAGÓN;22;Huesca;529;50;294
01/09/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;9;Burgos;844;36;697
01/09/2020;Hospitalización convencional;10;COMUNIDAD VALENCIANA;3;Alicante/Alacant;4061;136;2243
01/09/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;49;Zamora;17;2;3
01/09/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;2;Albacete;38;3;8
01/09/2020;U. Críticas CON respirador;12;GALICIA;36;Pontevedra;176;3;49
01/09/2020;U. Críticas CON respirador;15;NAVARRA;31;Navarra;101;10;41
02/09/2020;U. Críticas CON respirador;5;ISLAS CANARIAS;38;Santa Cruz de Tenerife;177;11;70
02/09/2020;U. Críticas CON respirador;14;MURCIA;30;Murcia;271;41;78
02/09/2020;U. Críticas CON respirador;19;MELILLA;52;Melilla;8;2;0
02/09/2020;U. Críticas SIN respirador;9;CATALUÑA;43;Tarragona;6;1;5
03/09/2020;Hospitalización convencional;1;ANDALUCÍA;14;Córdoba;1552;83;820
03/09/2020;Hospitalización convencional;1;ANDALUCÍA;21;Huelva;874;5;480
03/09/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;49;Zamora;364;21;227
03/09/2020;Hospitalización convencional;15;NAVARRA;31;Navarra;1670;76;932
03/09/2020;U. Críticas CON respirador;2;ARAGÓN;44;Teruel;8;3;3
03/09/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;42;Soria;16;2;5
03/09/2020;U. Críticas CON respirador;16;PAÍS VASCO;1;Araba/Álava;45;13;13
03/09/2020;U. Críticas SIN respirador;9;CATALUÑA;8;Barcelona;189;19;105
03/09/2020;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;2
04/09/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;5;Ávila;8;2;4
04/09/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;34;Palencia;15;1;11
04/09/2020;U. Críticas CON respirador;12;GALICIA;32;Ourense;51;5;11
04/09/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;37;Salamanca;5;0;0
04/09/2020;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;147;0;10
05/09/2020;Hospitalización convencional;6;CANTABRIA;39;Cantabria;1444;41;795
05/09/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;13;Ciudad Real;1293;57;636
05/09/2020;Hospitalización convencional;12;GALICIA;15;Coruña, A;3171;83;1886
05/09/2020;U. Críticas CON respirador;1;ANDALUCÍA;11;Cádiz;164;16;43
05/09/2020;U. Críticas SIN respirador;9;CATALUÑA;17;Girona;0;0;0
05/09/2020;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;6;0;0
06/09/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;2;Albacete;911;51;459
06/09/2020;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1328;101;838
19/08/2020;U. Críticas CON respirador;11;EXTREMADURA;6;Badajoz;123;3;37
19/08/2020;U. Críticas CON respirador;12;GALICIA;32;Ourense;51;1;14
20/08/2020;Hospitalización convencional;3;ASTURIAS;33;Asturias;3030;18;1950
20/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;13;Ciudad Real;1272;19;655
20/08/2020;Hospitalización convencional;12;GALICIA;15;Coruña, A;3171;58;1997
20/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;11;Cádiz;164;6;30
20/08/2020;U. Críticas CON respirador;16;PAÍS VASCO;1;Araba/Álava;43;9;16
20/08/2020;U. Críticas CON respirador;17;LA RIOJA;26;Rioja, La;43;3;13
20/08/2020;U. Críticas SIN respirador;9;CATALUÑA;25;Lleida;16;0;11
21/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;2;Albacete;894;25;444
21/08/2020;Hospitalización convencional;11;EXTREMADURA;10;Cáceres;956;10;467
21/08/2020;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1226;44;838
21/08/2020;U. Críticas CON respirador;5;ISLAS CANARIAS;35;Palmas, Las;213;10;73
21/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;24;León;65;1;32
21/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;11;Cádiz;50;2;10
22/08/2020;Hospitalización convencional;3;ASTURIAS;33;Asturias;3030;11;1772
22/08/2020;Hospitalización convencional;6;CANTABRIA;39;Cantabria;1444;37;805
22/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;16;Cuenca;318;5;146
22/08/2020;Hospitalización convencional;16;PAÍS VASCO;1;Araba/Álava;514;60;319
22/08/2020;Hospitalización convencional;16;PAÍS VASCO;48;Bizkaia;1946;193;1204
22/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;29;Málaga;209;8;63
22/08/2020;U. Críticas SIN respirador;12;GALICIA;27;Lugo;6;0;0
23/08/2020;Hospitalización convencional;4;ISLAS BALEARES;7;Balears, Illes;3056;225;1859
23/08/2020;Hospitalización convencional;5;ISLAS CANARIAS;35;Palmas, Las;2496;85;1661
23/08/2020;Hospitalización convencional;12;GALICIA;32;Ourense;936;9;632
23/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;37;Salamanca;56;2;26
23/08/2020;U. Críticas CON respirador;12;GALICIA;27;Lugo;75;2;14
23/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;23;Jaén;65;2;5
23/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;9;Burgos;4;0;0
23/08/2020;U. Críticas SIN respirador;12;GALICIA;36;Pontevedra;53;0;2
24/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;34;Palencia;322;7;251
24/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;16;Cuenca;372;9;159
24/08/2020;Hospitalización convencional;8;CASTILLA LA MANCHA;19;Guadalajara;346;33;205
24/08/2020;Hospitalización convencional;13;MADRID;28;Madrid;13349;1547;8624
24/08/2020;Hospitalización convencional;14;MURCIA;30;Murcia;3028;138;1774
24/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;18;Granada;132;1;38
24/08/2020;U. Críticas CON respirador;9;CATALUÑA;8;Barcelona;656;106;293
24/08/2020;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;3;Alicante/Alacant;274;15;108
24/08/2020;U. Críticas CON respirador;13;MADRID;28;Madrid;901;176;346
24/08/2020;U. Críticas SIN respirador;6;CANTABRIA;39;Cantabria;26;0;6
25/08/2020;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;431;25;158
25/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;14;Córdoba;81;0;5
25/08/2020;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;3;Alicante/Alacant;78;1;24
26/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;34;Palencia;325;5;244
26/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;21;Huelva;41;1;19
26/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;29;Málaga;209;9;80
26/08/2020;U. Críticas CON respirador;2;ARAGÓN;22;Huesca;30;11;2
26/08/2020;U. Críticas CON respirador;9;CATALUÑA;25;Lleida;37;19;10
26/08/2020;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;3;Alicante/Alacant;275;16;119
27/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;37;Salamanca;620;50;459
27/08/2020;U. Críticas SIN respirador;15;NAVARRA;31;Navarra;12;0;6
28/08/2020;Hospitalización convencional;9;CATALUÑA;17;Girona;1971;45;1343
28/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;21;Huelva;41;1;21
28/08/2020;U. Críticas SIN respirador;11;EXTREMADURA;10;Cáceres;21;2;0
29/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;37;Salamanca;620;58;433
29/08/2020;U. Críticas CON respirador;12;GALICIA;36;Pontevedra;176;3;55
29/08/2020;U. Críticas CON respirador;16;PAÍS VASCO;20;Gipuzkoa;85;13;35
29/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;47;Valladolid;14;0;4
30/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;24;León;1211;21;820
30/08/2020;Hospitalización convencional;9;CATALUÑA;25;Lleida;969;166;605
30/08/2020;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;6;76
30/08/2020;U. Críticas CON respirador;16;PAÍS VASCO;48;Bizkaia;155;24;58
30/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;4;Almería;42;2;6
30/08/2020;U. Críticas SIN respirador;12;GALICIA;32;Ourense;33;1;10
19/08/2020;Hospitalización convencional;1;ANDALUCÍA;11;Cádiz;2376;32;1433
19/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;24;León;1199;15;828
19/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;40;Segovia;278;10;194
19/08/2020;Hospitalización convencional;9;CATALUÑA;17;Girona;2033;43;1374
19/08/2020;Hospitalización convencional;17;LA RIOJA;26;Rioja, La;674;11;431
19/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;21;Huelva;41;0;22
19/08/2020;U. Críticas SIN respirador;11;EXTREMADURA;10;Cáceres;21;1;3
20/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;40;Segovia;18;2;4
20/08/2020;U. Críticas SIN respirador;1;ANDALUCÍA;4;Almería;42;0;10
20/08/2020;U. Críticas SIN respirador;3;ASTURIAS;33;Asturias;44;0;6
20/08/2020;U. Críticas SIN respirador;16;PAÍS VASCO;1;Araba/Álava;8;0;1
21/08/2020;Hospitalización convencional;1;ANDALUCÍA;29;Málaga;2626;96;1543
21/08/2020;Hospitalización convencional;7;CASTILLA Y LEÓN;37;Salamanca;633;35;437
22/08/2020;Hospitalización convencional;2;ARAGÓN;22;Huesca;525;46;305
22/08/2020;Hospitalización convencional;2;ARAGÓN;50;Zaragoza;4803;398;1310
22/08/2020;Hospitalización convencional;9;CATALUÑA;8;Barcelona;16472;660;11865
22/08/2020;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1303;9;689
22/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;49;Zamora;17;2;4
22/08/2020;U. Críticas SIN respirador;8;CASTILLA LA MANCHA;19;Guadalajara;30;0;0
23/08/2020;Hospitalización convencional;1;ANDALUCÍA;23;Jaén;1164;30;508
23/08/2020;Hospitalización convencional;1;ANDALUCÍA;41;Sevilla;3073;32;1947
23/08/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;19;Guadalajara;18;0;10
23/08/2020;U. Críticas SIN respirador;14;MURCIA;30;Murcia;143;0;10
24/08/2020;Hospitalización convencional;1;ANDALUCÍA;23;Jaén;1164;32;503
24/08/2020;U. Críticas CON respirador;1;ANDALUCÍA;14;Córdoba;74;2;40
24/08/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;19;Guadalajara;18;2;7
24/08/2020;U. Críticas CON respirador;14;MURCIA;30;Murcia;244;32;81
24/08/2020;U. Críticas SIN respirador;4;ISLAS BALEARES;7;Balears, Illes;52;5;12
24/08/2020;U. Críticas SIN respirador;5;ISLAS CANARIAS;35;Palmas, Las;48;0;21
24/08/2020;U. Críticas SIN respirador;11;EXTREMADURA;6;Badajoz;18;0;0
24/08/2020;U. Críticas SIN respirador;13;MADRID;28;Madrid;162;0;10
24/08/2020;U. Críticas SIN respirador;14;MURCIA;30;Murcia;143;0;13
24/08/2020;U. Críticas SIN respirador;18;CEUTA;51;Ceuta;0;0;0
25/08/2020;Hospitalización convencional;1;ANDALUCÍA;29;Málaga;2626;127;1802
25/08/2020;U. Críticas CON respirador;4;ISLAS BALEARES;7;Balears, Illes;220;35;69
25/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;34;Palencia;15;1;9
25/08/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;2;Albacete;34;3;11
25/08/2020;U. Críticas CON respirador;8;CASTILLA LA MANCHA;13;Ciudad Real;73;5;15
25/08/2020;U. Críticas CON respirador;14;MURCIA;30;Murcia;244;33;80
25/08/2020;U. Críticas CON respirador;15;NAVARRA;31;Navarra;98;10;40
25/08/2020;U. Críticas CON respirador;18;CEUTA;51;Ceuta;7;0;2
25/08/2020;U. Críticas CON respirador;19;MELILLA;52;Melilla;8;1;2
25/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;24;León;0;0;0
25/08/2020;U. Críticas SIN respirador;18;CEUTA;51;Ceuta;0;0;0
26/08/2020;Hospitalización convencional;1;ANDALUCÍA;14;Córdoba;1552;50;812
26/08/2020;U. Críticas CON respirador;2;ARAGÓN;44;Teruel;8;2;3
26/08/2020;U. Críticas CON respirador;4;ISLAS BALEARES;7;Balears, Illes;222;40;70
26/08/2020;U. Críticas CON respirador;11;EXTREMADURA;10;Cáceres;45;5;20
26/08/2020;U. Críticas SIN respirador;7;CASTILLA Y LEÓN;5;Ávila;5;0;0
27/08/2020;Hospitalización convencional;15;NAVARRA;31;Navarra;1606;52;927
27/08/2020;U. Críticas CON respirador;7;CASTILLA Y LEÓN;5;Ávila;10;3;0
