CCN;CODCNH;Nombre Centro;Tipo Vía;Nombre Vía;Número Vía;Teléfono Principal;Cód. Municipio;Municipio;Cód. Provincia;Provincia;Cód. CCAA;CCAA;Código Postal;CAMAS;Cód. Clase de Centro;Clase de Centro;Cód. Dep. Funcional;Dependencia Funcional;Forma parte Complejo;CODIDCOM;Nombre del Complejo;ALTA;Email
1106001097;060286;HOSPITAL CLINICA EXTREMEÑA DE SALUD -FASE I-;Calle;Federico Mayor Zaragoza;0;924245075;060153;Badajoz;06;Badajoz;11;Extremadura;06006;20;C11;Hospitales Generales;20;Privados;N;;;N;
0407000002;070048;HOSPITAL GENERAL DE MALLORCA;Plaza;Hospital;3;971212000;070407;Palma;07;Balears, Illes;04;Balears, Illes;07012;100;C13;Hospitales de media y larga estancia;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0141000534;410114;HOSPITAL QUIRONSALUD SAGRADO CORAZON;Calle;Rafael Salgado;3;954937676;410917;Sevilla;41;Sevilla;01;Andalucía;41013;147;C11;Hospitales Generales;20;Privados;N;;;N;
0407000216;070051;HOSPITAL PSIQUIATRIC;Calle;Cami De Jesus;40;971212300;070407;Palma;07;Balears, Illes;04;Balears, Illes;07011;168;C14;Hospitales de salud mental y tratamiento de toxicomanías;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0141000536;410325;FREMAP, HOSPITAL Y CENTRO DE REHABILITACION DE SEVILLA;Avenida;De Jerez;S/N;954249102;410917;Sevilla;41;Sevilla;01;Andalucía;41014;102;C12;Hospitales especializados;20;Privados;N;;;N;
0407000011;070064;MUTUA BALEAR;Calle;Bisbe Campins;4;971213400;070407;Palma;07;Balears, Illes;04;Balears, Illes;07012;40;C11;Hospitales Generales;21;Mutuas Colaboradoras  con la Seguridad Social;N;;;N;
0407001223;070070;HOSPITAL DE LA CREU ROJA ESPANYOLA;Calle;Pons I Gallarza;90;971751445;070407;Palma;07;Balears, Illes;04;Balears, Illes;07004;73;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
0407000005;070086;HOSPITAL SANT JOAN DE DEU;Calle;Sant Joan De Deu;7;971265854;070407;Palma;07;Balears, Illes;04;Balears, Illes;07007;200;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
0407000008;070110;CLINICA JUANEDA;Calle;Company;30;971731647;070407;Palma;07;Balears, Illes;04;Balears, Illes;07014;196;C11;Hospitales Generales;20;Privados;N;;;N;
0407000218;070162;HOSPITAL JOAN MARCH;Carretera;Palma-Soller;KM. 12;971212200;070103;Bunyola;07;Balears, Illes;04;Balears, Illes;07110;106;C13;Hospitales de media y larga estancia;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0407001219;070201;POLICLINICA NUESTRA SRA. DEL ROSARIO;Via;Romana;S/N;971301916;070260;Eivissa;07;Balears, Illes;04;Balears, Illes;07800;70;C11;Hospitales Generales;20;Privados;N;;;N;
0407000032;070244;CLINICA JUANEDA MENORCA;Calle;Canonge Moll;S/N;971480505;070159;Ciutadella de Menorca;07;Balears, Illes;04;Balears, Illes;07760;41;C11;Hospitales Generales;20;Privados;N;;;N;
0407000003;070260;HOSPITAL GENERAL DE MURO;Calle;Veler;S/N;971891900;070393;Muro;07;Balears, Illes;04;Balears, Illes;07408;85;C11;Hospitales Generales;20;Privados;N;;;N;
0407000006;070295;POLICLINICA VIRGEN DE GRACIA;Calle;Vives Llull;6;971351115;070321;Maó-Mahón;07;Balears, Illes;04;Balears, Illes;07703;18;C11;Hospitales Generales;20;Privados;N;;;N;
0141000554;410248;HOSPITAL DE ALTA RESOLUCION DE MORON DE LA FRONTERA;Plaza;San Francisco;S/N;954851008;410652;Morón de la Frontera;41;Sevilla;01;Andalucía;41530;12;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0407001618;070344;HOSPITAL QUIRONSALUD PALMAPLANAS;Calle;Cami Dels Reis;308;971918000;070407;Palma;07;Balears, Illes;04;Balears, Illes;07010;169;C11;Hospitales Generales;20;Privados;N;;;N;
0141000555;410353;HOSPITAL SAN JUAN DE DIOS DEL ALJARAFE;Avenida;San Juan De Dios;S/N;955050550;410172;Bormujos;41;Sevilla;01;Andalucía;41930;200;C11;Hospitales Generales;4;Otras entidades u organismos públicos de dependencia autonómica;N;;;N;
0407001619;070366;HOSPITAL DE FORMENTERA;Calle;Venda Des Brolls;S/N;971321212;070244;Formentera;07;Balears, Illes;04;Balears, Illes;07860;12;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0141001379;410233;HOSPITAL SAN AGUSTIN;Calle;Prolongacion Doctor Fleming, Sector 13;S/N;955050570;410384;Dos Hermanas;41;Sevilla;01;Andalucía;41703;93;C11;Hospitales Generales;20;Privados;N;;;N;
0407001688;070423;HOSPITAL CLINIC BALEAR;Paseo;Arbreda;S/N;971443030;070316;Llucmajor;07;Balears, Illes;04;Balears, Illes;07609;34;C11;Hospitales Generales;20;Privados;N;;;N;
0407003152;070434;CLINICA LUZ DE PALMA;Calle;Camilo Jose Cela;20;971599167;070407;Palma;07;Balears, Illes;04;Balears, Illes;07014;38;C11;Hospitales Generales;20;Privados;N;;;N;
0141006016;410454;HOSPITAL DE ALTA RESOLUCION DE LEBRIJA;Avenida;El Cuervo;S/N;000000000;410536;Lebrija;41;Sevilla;01;Andalucía;41740;22;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0141006017;410419;HOSPITAL DE ALTA RESOLUCION DE ECIJA;Avenida;Doctor Sanchez Malo;73;000000000;410397;Écija;41;Sevilla;01;Andalucía;41400;38;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0222000004;220020;CENTRO DE REHABILITACION PSICOSOCIAL SANTO CRISTO DE LOS MILAGROS;Carretera;Arguis;KM 2,5;974220772;221259;Huesca;22;Huesca;02;Aragón;22006;110;C14;Hospitales de salud mental y tratamiento de toxicomanías;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0222000030;220105;CENTRO SANITARIO BAJO CINCA-BAIX CINCA;Calle;Hermana Andresa;2;974474545;221127;Fraga;22;Huesca;02;Aragón;22520;20;C190;Otros Centros con Internamiento;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0244000003;440027;HOSPITAL DE SAN JOSE;Avenida;Zaragoza;16;978654070;442160;Teruel;44;Teruel;02;Aragón;44001;50;C13;Hospitales de media y larga estancia;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0250000083;500074;HOSPITAL NUESTRA SEÑORA DE GRACIA;Calle;Ramon Y  Cajal;60;976440022;502973;Zaragoza;50;Zaragoza;02;Aragón;50004;151;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0333000032;330321;CENTRO SALUD MENTAL PEREZ ESPINOSA;Calle;Santa Rosa;6;985771677;330352;Llanera;33;Asturias;03;Asturias, Principado de;33690;42;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;Privados;N;;;N;
0908005174;080253;HOSPITAL MARE DE DEU DE LA MERCE;Paseo;Universal;34;934275250;080193;Barcelona;08;Barcelona;09;Cataluña;08042;113;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;Privados;N;;;N;
0333000265;330376;INSTITUTO OFTALMOLOGICO FERNANDEZ-VEGA;Avenida;Dtres. Fernandez Vega;34;985241512;330447;Oviedo;33;Asturias;03;Asturias, Principado de;33012;13;C12;Hospitales especializados;20;Privados;N;;;N;
0908005158;080266;CLINICA  SOLARIUM;Calle;Ticia .;21;934172007;080193;Barcelona;08;Barcelona;09;Cataluña;08035;44;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
0333000848;330254;FUNDACION SANATORIO ADARO;Calle;Jove Y Canella;1;985692111;330313;Langreo;33;Asturias;03;Asturias, Principado de;33900;138;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
0333001472;330045;HOSPITAL MONTE NARANCO;Avenida;Doctores Fenandez Vega;S/N;985106900;330447;Oviedo;33;Asturias;03;Asturias, Principado de;33012;194;C13;Hospitales de media y larga estancia;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0333002321;330313;HOSPITAL DE LUARCA;Calle;Villar S/N;0;985470707;330349;Valdés;33;Asturias;03;Asturias, Principado de;33700;19;C190;Otros Centros con Internamiento;20;Privados;N;;;N;
0333002526;330208;HOSPITAL  BEGOÑA;Avenida;Pablo Iglesias;92;985367711;330241;Gijón;33;Asturias;03;Asturias, Principado de;33204;41;C11;Hospitales Generales;20;Privados;N;;;N;
0333002562;330077;CLINICA ASTURIAS;Calle;Naranjo De Bulnes;4-6;985286000;330447;Oviedo;33;Asturias;03;Asturias, Principado de;33012;46;C11;Hospitales Generales;20;Privados;N;;;N;
0333002581;330332;CLINICA PSIQUIATRICA SOMIO;Carretera;La Providencia-Infanzon, 3518;3518;985133806;330241;Gijón;33;Asturias;03;Asturias, Principado de;33203;40;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;Privados;N;;;N;
0333002620;330096;CLINICA SAN RAFAEL;Calle;La Estrecha,;33;985282526;330447;Oviedo;33;Asturias;03;Asturias, Principado de;33011;36;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;Privados;N;;;N;
0333002781;330175;SANATORIO NTRA. SRA. DE COVADONGA;Calle;General Suarez Valdes;40;985365122;330241;Gijón;33;Asturias;03;Asturias, Principado de;33204;24;C11;Hospitales Generales;20;Privados;N;;;N;
0333003295;330365;CENTRO TERAPEUTICO VISTA ALEGRE;Calle;Profesor Perez Pimentel (La Guia - Somio);30;985363435;330241;Gijón;33;Asturias;03;Asturias, Principado de;33203;28;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;Privados;N;;;N;
0333003421;330117;FUNDACION HOSPITAL DE AVILES;Calle;Cabruñana;19;627513515;330045;Avilés;33;Asturias;03;Asturias, Principado de;33400;90;C12;Hospitales especializados;4;Otras entidades u organismos públicos de dependencia autonómica;N;;;N;
0333005582;330325;HOSPITAL VITAL ALVAREZ BUYLLA;Calle;Vistalegre;2;985458500;330371;Mieres;33;Asturias;03;Asturias, Principado de;33619;176;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;S;
0908005184;080879;HOSPITAL DE SANT ANDREU;Calle;Remei De Dalt;3;938743312;081136;Manresa;08;Barcelona;09;Cataluña;08240;191;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
0908005216;081213;CENTRE GERIATRIC DEL MARESME;Calle;Lepant;13-21;937965003;081213;Mataró;08;Barcelona;09;Cataluña;08301;125;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
0538000115;380201;CLINICA VIDA;Calle;Magnolias;2;922330550;380260;Orotava, La;38;Santa Cruz de Tenerife;05;Canarias;38312;31;C11;Hospitales Generales;20;Privados;N;;;N;
0538000118;380359;CLINICA TARA;Calle;Casas Altas;S/N;922563351;380435;Tacoronte;38;Santa Cruz de Tenerife;05;Canarias;38399;12;C190;Otros Centros con Internamiento;20;Privados;N;;;N;
0709001374;090085;HOSPITAL RESIDENCIA ASISTIDA LA LUZ;Calle;Duraton;2;947500150;090183;Aranda de Duero;09;Burgos;07;Castilla y León;09000;75;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
0709001375;090050;HOSPITAL SAN JUAN DE DIOS BURGOS;Paseo;De La Isla;3;947257730;090597;Burgos;09;Burgos;07;Castilla y León;09003;160;C13;Hospitales de media y larga estancia;22;Organizaciones no gubernamentales;N;;;N;
0724001711;240205;CLINICA ALTOLLANO;Calle;La Fuentina;0;987286000;242225;Villaquilambre;24;León;07;Castilla y León;24193;110;C11;Hospitales Generales;20;Privados;N;;;N;
0908005281;081953;MAPFRE QUAVITAE BARCELONA;Calle;Sant Antoni Maria Claret;200;934579400;080193;Barcelona;08;Barcelona;09;Cataluña;08025;38;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
0724001714;240074;CLINICA SAN FRANCISCO;Calle;Marqueses De San Isidro;11;987251012;240896;León;24;León;07;Castilla y León;24000;75;C11;Hospitales Generales;20;Privados;N;;;N;
0908005286;082034;SERVEIS SANITARIS SANT JOAN DE VILATORRADA;Carretera;De Manresa A Solsona. Cami De Les Torres;C-55;932140100;082188;Sant Joan de Vilatorrada;08;Barcelona;09;Cataluña;08250;56;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0734000720;340053;HOSPITAL RECOLETAS PALENCIA;Avenida;Simon Nieto;31-34;979747700;341202;Palencia;34;Palencia;07;Castilla y León;34005;44;C11;Hospitales Generales;20;Privados;N;;;N;
0734000722;340040;AREA PSIQUIATRICA DEL CENTRO ASISTENCIAL  SAN JUAN DE DIOS;Paseo;Padre Faustino Calvo;0;979742300;341202;Palencia;34;Palencia;07;Castilla y León;34005;97;C14;Hospitales de salud mental y tratamiento de toxicomanías;22;Organizaciones no gubernamentales;N;;;N;
0740000780;400058;UNIDAD DE REHABILITACION PSIQUIATRICA NUESTRA SEÑORA DE LA FUENCISLA;Carretera;De La Granja;7;921421800;401556;Palazuelos de Eresma;40;Segovia;07;Castilla y León;40194;56;C14;Hospitales de salud mental y tratamiento de toxicomanías;5;Diputación o Cabildo;N;;;N;
0813000043;130049;HOSPITAL QUIRONSALUD CIUDAD REAL;Calle;Alisos;19;926255008;130343;Ciudad Real;13;Ciudad Real;08;Castilla - La Mancha;13002;47;C11;Hospitales Generales;20;Privados;N;;;N;
0813000450;130052;HOSPITAL GENERAL LA MANCHA CENTRO;Avenida;De La Constitucion;3;926580500;130052;Alcázar de San Juan;13;Ciudad Real;08;Castilla - La Mancha;13600;353;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0813000577;130065;HOSPITAL VIRGEN DE ALTAGRACIA;Avenida;D. Emiliano Garcia Roldan;2;000000000;130533;Manzanares;13;Ciudad Real;08;Castilla - La Mancha;13200;118;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0813000578;130071;HOSPITAL SANTA BARBARA;Carretera;Malagon;S/Nº;926421100;130718;Puertollano;13;Ciudad Real;08;Castilla - La Mancha;13500;141;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0813000583;130034;SERVICIOS SANITARIOS Y ASISTENCIALES;Ronda;Del Carmen;S/Nº;926231275;130343;Ciudad Real;13;Ciudad Real;08;Castilla - La Mancha;13002;85;C14;Hospitales de salud mental y tratamiento de toxicomanías;5;Diputación o Cabildo;N;;;N;
0813000584;130087;HOSPITAL GENERAL DE VALDEPEÑAS;Avenida;De Los Estudiantes;S/Nº;926320200;130874;Valdepeñas;13;Ciudad Real;08;Castilla - La Mancha;13300;103;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0813000931;130128;HOSPITAL GENERAL DE TOMELLOSO;Calle;Vereda De Socuellamos;S/N;926525800;130821;Tomelloso;13;Ciudad Real;08;Castilla - La Mancha;13700;155;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0816000342;160053;HOSPITAL RECOLETAS CUENCA, S.L.U.;Avenida;De San Julian;1;969232500;160783;Cuenca;16;Cuenca;08;Castilla - La Mancha;16003;30;C11;Hospitales Generales;20;Privados;N;;;N;
0819000010;190077;INSTITUTO DE ENFERMEDADES NEUROLOGICAS DE CASTILLA-LA MANCHA;Paseo;De La Estacion;2;949211500;191305;Guadalajara;19;Guadalajara;08;Castilla - La Mancha;19004;147;C13;Hospitales de media y larga estancia;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0819000025;190030;CLINICA LA ANTIGUA;Calle;Constitucion;18;949223600;191305;Guadalajara;19;Guadalajara;08;Castilla - La Mancha;19003;57;C11;Hospitales Generales;20;Privados;N;;;N;
0819000193;190045;CLINICA DOCTOR SANZ VAZQUEZ;Paseo;Doctor Fernandez Iparraguirre;6;949227200;191305;Guadalajara;19;Guadalajara;08;Castilla - La Mancha;19001;40;C11;Hospitales Generales;20;Privados;N;;;N;
0845000027;450133;CENTRO DE TRATAMIENTO DE DROGODEPENDIENTES EL ALBA;Carretera;Puebla De Montalban;KM. 3,6;925216154;451685;Toledo;45;Toledo;08;Castilla - La Mancha;45071;30;C14;Hospitales de salud mental y tratamiento de toxicomanías;4;Otras entidades u organismos públicos de dependencia autonómica;N;;;N;
0845000810;450067;HOSPITAL GENERAL NUESTRA SEÑORA DEL PRADO;Carretera;Madrid;KM 114;925803600;451650;Talavera de la Reina;45;Toledo;08;Castilla - La Mancha;45600;312;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0845000812;450036;HOSPITAL NACIONAL DE PARAPLEJICOS;Calle;Finca De La Peraleda;S/N;925247700;451685;Toledo;45;Toledo;08;Castilla - La Mancha;45071;210;C12;Hospitales especializados;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1012000182;120038;HOSPITAL LA MAGDALENA;Camino;Collet;32;964356800;120402;Castellón de la Plana/Castelló de la Plana;12;Castellón/Castelló;10;Comunitat Valenciana;12004;128;C13;Hospitales de media y larga estancia;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1215000169;150308;SANATORIO LA ROBLEDA;Lugar;Santiso;S/N;981585811;150660;Pino, O;15;Coruña, A;12;Galicia;15821;96;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;Privados;N;;;N;
1620000001;200049;MUTUALIA CLINICA PAKEA;Paseo;Paseo De Arriola;26;902540250;200697;Donostia-San Sebastián;20;Gipuzkoa;16;País Vasco;20018;29;C12;Hospitales especializados;21;Mutuas Colaboradoras  con la Seguridad Social;N;;;N;
1620000012;200071;HOSPITAL RICARDO BERMINGHAM;Camino;Los Pinos, Camino/Bidea;35;943317102;200697;Donostia-San Sebastián;20;Gipuzkoa;16;País Vasco;20018;105;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
1620000005;200163;HOSPITAL BIDASOA (OSI BIDASOA);Barrio;Finca Zubieta, Barrio Mendelu;S/N;943007702;200369;Hondarribia;20;Gipuzkoa;16;País Vasco;20280;101;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1620000008;200219;CLINICA SANTA MARIA DE LA ASUNCION (INVIZA, S. A.);Carretera;Carretera Izaskun;9;943697000;200718;Tolosa;20;Gipuzkoa;16;País Vasco;20400;120;C11;Hospitales Generales;20;Privados;N;;;N;
1620000016;200230;SANATORIO USURBIL, S. L.;Barrio;San Esteban Auzoa;48;0;200739;Usurbil;20;Gipuzkoa;16;País Vasco;20170;80;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;Privados;N;;;N;
1620000006;200258;HOSPITAL DE MENDARO (OSI BAJO DEBA);Calle;Mendarozabal;S/N;943032800;209014;Mendaro;20;Gipuzkoa;16;País Vasco;20850;119;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
0925000583;250175;RESIDENCIA TERRAFERMA;Calle;Partida Del Grao;S/N;973737455;250236;Alpicat;25;Lleida;09;Cataluña;25110;137;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
1726000846;260051;POLICLINICO RIOJANO NUESTRA SEÑORA DE VALVANERA;Calle;Ramon Y Cajal;S/N;941211900;260892;Logroño;26;Rioja, La;17;Rioja, La;26006;87;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
1726000699;260110;CENTRO ASISTENCIAL ALBELDA DE IREGUA;Carretera;De Soria;KM. 8;941279220;260051;Albelda de Iregua;26;Rioja, La;17;Rioja, La;26120;140;C14;Hospitales de salud mental y tratamiento de toxicomanías;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1726000383;260121;CENTRO SOCIOSANITARIO DE CONVALENCENCIA LOS JAZMINES;Calle;Severo Ochoa;5;941303650;260717;Haro;26;Rioja, La;17;Rioja, La;26200;26;C13;Hospitales de media y larga estancia;20;Privados;N;;;N;
1227000095;270109;HOSPITAL PUBLICO DE MONFORTE;Calle;Corredoira;S/N;982417900;270312;Monforte de Lemos;27;Lugo;12;Galicia;27400;140;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1328000041;280112;HOSPITAL UNIVERSITARIO SANTA CRISTINA;Calle;De O'Donnell;59;915574300;280796;Madrid;28;Madrid;13;Madrid, Comunidad de;28009;156;C11;Hospitales Generales;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1328000028;280133;HOSPITAL INFANTIL UNIVERSITARIO NIÑO JESUS;Avenida;De Menendez Pelayo;65;915035900;280796;Madrid;28;Madrid;13;Madrid, Comunidad de;28009;170;C12;Hospitales especializados;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1328000020;280148;HOSPITAL CENTRAL DE LA CRUZ ROJA, SAN JOSE Y SANTA ADELA;Avenida;De La Reina Victoria;22-26;914538300;280796;Madrid;28;Madrid;13;Madrid, Comunidad de;28003;154;C190;Otros Centros con Internamiento;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1328000036;280262;HOSPITAL PSIQUIATRICO DOCTOR RODRIGUEZ LAFORA;Carretera;De Colmenar Viejo;K.13,8;915867500;280796;Madrid;28;Madrid;13;Madrid, Comunidad de;28049;334;C14;Hospitales de salud mental y tratamiento de toxicomanías;2;Servicios o Institutos de Salud de las comunidades autónomas;N;;;N;
1328000040;280339;HOSPITAL SAN RAFAEL;Calle;De Serrano;199;915649943;280796;Madrid;28;Madrid;13;Madrid, Comunidad de;28016;188;C11;Hospitales Generales;20;Privados;N;;;N;
